state,city,scientific_name,count
Iowa,Bondurant,Acer saccharinum,34
Iowa,Bondurant,Pinus sylvestris,22
Iowa,Bouton,Fraxinus pennsylvanica,49
Iowa,Bouton,Acer saccharinum,27
Iowa,Bouton,Celtis occidentalis,18
Iowa,Bouton,Populus tremuloides,14
Iowa,Bouton,Gleditsia triacanthos,6
Iowa,Carlisle,Celtis occidentalis,64
Iowa,Carlisle,Fraxinus,54
Iowa,Carlisle,Juglans nigra,53
Iowa,Carlisle,Quercus rubra,51
Iowa,Carlisle,Pinus strobus,43
Iowa,Colfax,Acer saccharinum,53
Iowa,Colfax,Acer saccharum,45
Iowa,Colfax,Fraxinus,29
Iowa,Colfax,Acer,28
Iowa,Colfax,Gleditsia triacanthos,13
Iowa,Coon Rapids,Fraxinus pennsylvanica,159
Iowa,Coon Rapids,Acer platanoides,88
Iowa,Coon Rapids,Acer saccharinum,65
Iowa,Coon Rapids,Quercus rubra,40
Iowa,Coon Rapids,Tilia cordata,34
Iowa,Dallas Center,Fraxinus pennsylvanica,148
Iowa,Dallas Center,Acer saccharinum,103
Iowa,Dallas Center,Acer saccharum,94
Iowa,Dallas Center,Acer platanoides,83
Iowa,Dallas Center,Pinus strobus,50
Iowa,De Soto,Juglans nigra,73
Iowa,De Soto,Acer negundo,12
Iowa,De Soto,Ulmus pumila,12
Iowa,De Soto,Fraxinus pennsylvanica,9
Iowa,De Soto,Acer saccharinum,6
Iowa,Des Moines,Gymnocladus dioicus,4
Iowa,Des Moines,Quercus,4
Iowa,Des Moines,Quercus alba,4
Iowa,Des Moines,Ulmus americana,4
Iowa,Des Moines,Malus,3
Iowa,Dexter,Malus,31
Iowa,Dexter,Fraxinus,29
Iowa,Dexter,Acer saccharum,25
Iowa,Dexter,Acer saccharinum,19
Iowa,Dexter,Acer platanoides,11
Iowa,Earlham,Malus,151
Iowa,Earlham,Acer saccharum,118
Iowa,Earlham,Fraxinus pennsylvanica,54
Iowa,Earlham,Acer rubrum,35
Iowa,Earlham,Acer saccharinum,26
Iowa,Elkhart,Acer saccharinum,28
Iowa,Elkhart,Fraxinus pennsylvanica,17
Iowa,Elkhart,Quercus macrocarpa,16
Iowa,Elkhart,Malus,12
Iowa,Elkhart,Acer,10
Iowa,Granger,Fraxinus pennsylvanica,46
Iowa,Granger,Acer saccharinum,21
Iowa,Granger,Malus,15
Iowa,Granger,Acer platanoides,12
Iowa,Granger,Quercus rubra,11
Iowa,Guthrie Center,Acer saccharum,68
Iowa,Guthrie Center,Fraxinus pennsylvanica,38
Iowa,Guthrie Center,Acer saccharinum,27
Iowa,Guthrie Center,Acer platanoides,20
Iowa,Guthrie Center,Celtis occidentalis,17
Iowa,Hartford,Acer saccharinum,4
Iowa,Hartford,Celtis occidentalis,4
Iowa,Hartford,Acer platanoides,2
Iowa,Hartford,Juglans nigra,2
Iowa,Hartford,Morus,2
Iowa,Kellogg,Juglans nigra,31
Iowa,Kellogg,Acer saccharinum,22
Iowa,Kellogg,Fraxinus pennsylvanica,16
Iowa,Kellogg,Acer saccharum,8
Iowa,Kellogg,Picea,8
Iowa,Milo,Fraxinus,81
Iowa,Milo,Malus,48
Iowa,Milo,Acer saccharinum,32
Iowa,Milo,Acer ginnala,19
Iowa,Milo,Acer saccharum,19
Iowa,Mitchellville,Acer saccharinum,51
Iowa,Mitchellville,Fraxinus pennsylvanica,26
Iowa,Mitchellville,Celtis occidentalis,22
Iowa,Mitchellville,Acer platanoides,20
Iowa,Mitchellville,Acer saccharum,18
Iowa,Monroe,Acer saccharinum,33
Iowa,Monroe,Acer saccharum,28
Iowa,Monroe,Cercis canadensis,27
Iowa,Monroe,Celtis occidentalis,25
Iowa,Monroe,Acer,23
Iowa,Newton,Quercus macrocarpa,426
Iowa,Newton,Fraxinus pennsylvanica,205
Iowa,Newton,Pinus strobus,198
Iowa,Newton,Quercus rubra,160
Iowa,Newton,Malus,151
Iowa,Oakland Acres,Pinus strobus,10
Iowa,Oakland Acres,Quercus rubra,6
Iowa,Oakland Acres,Quercus palustris,5
Iowa,Oakland Acres,Fraxinus pennsylvanica,4
Iowa,Oakland Acres,Acer rubrum,3
Iowa,Panora,Acer saccharum,56
Iowa,Panora,Fraxinus pennsylvanica,45
Iowa,Panora,Acer saccharinum,22
Iowa,Panora,Acer platanoides,21
Iowa,Panora,Malus,16
Iowa,Pleasant Hill,Malus,200
Iowa,Pleasant Hill,Celtis occidentalis,168
Iowa,Pleasant Hill,Quercus rubra,91
Iowa,Pleasant Hill,Quercus macrocarpa,90
Iowa,Pleasant Hill,Pinus strobus,80
Iowa,Polk City,Malus,55
Iowa,Polk City,Pyrus,21
Iowa,Polk City,Fraxinus pennsylvanica,12
Iowa,Polk City,Acer rubrum,9
Iowa,Polk City,Quercus bicolor,6
Iowa,Prairie City,Picea,55
Iowa,Prairie City,Acer saccharinum,33
Iowa,Prairie City,Thuja occidentalis,29
Iowa,Prairie City,Acer saccharum,26
Iowa,Prairie City,Fraxinus,18
