Name,Longitude,Latitude
Fraxinus excelsior,11.118943,46.096873
Fraxinus excelsior,11.117436,46.098528
Fraxinus excelsior,11.118934,46.09665
Fraxinus ornus,11.108782,46.105678
Acer pseudoplatanus,11.108976,46.105313
Acer pseudoplatanus,11.109079,46.105238
Acer pseudoplatanus,11.109253,46.105128
Acer pseudoplatanus,11.109339,46.105089
Acer pseudoplatanus,11.11805,46.097941
Carpinus betulus,11.118084,46.098013
Carpinus betulus,11.118017,46.098017
Carpinus betulus,11.090046,46.121725
Celtis australis,11.094204,46.120111
Tilia cordata,11.09415,46.120157
Tilia cordata,11.094094,46.120207
Tilia cordata,11.094046,46.120248
Tilia cordata,11.093995,46.120294
Tilia cordata,11.093942,46.12034
Tilia cordata,11.093891,46.120386
Tilia cordata,11.093838,46.120432
Tilia cordata,11.093785,46.120479
Tilia cordata,11.093733,46.120525
Tilia cordata,11.093677,46.120571
Tilia cordata,11.093433,46.120795
Tilia cordata,11.093374,46.120845
Tilia cordata,11.093347,46.120744
Tilia cordata,11.093299,46.120786
Tilia cordata,11.09325,46.120833
Tilia cordata,11.093202,46.120873
Tilia cordata,11.093152,46.120918
Tilia cordata,11.093567,46.120553
Tilia cordata,11.093614,46.120512
Tilia cordata,11.093658,46.120473
Tilia cordata,11.093712,46.12043
Tilia cordata,11.093756,46.120388
Tilia cordata,11.094022,46.120152
Tilia cordata,11.093977,46.120189
Tilia cordata,11.09389,46.120265
Tilia cordata,11.09385,46.120305
Tilia cordata,11.094069,46.120108
Tilia cordata,11.094114,46.120066
Tilia cordata,11.097849,46.118705
Celtis australis,11.097624,46.118738
Celtis australis,11.09774,46.11872
Celtis australis,11.09836,46.118544
Celtis australis,11.098257,46.118559
Celtis australis,11.098154,46.118572
Celtis australis,11.098455,46.11853
Celtis australis,11.09917,46.118427
Celtis australis,11.099573,46.118458
Celtis australis,11.099663,46.118445
Celtis australis,11.099289,46.118411
Celtis australis,11.099626,46.118368
Celtis australis,11.099724,46.118354
Celtis australis,11.099823,46.11834
Celtis australis,11.099408,46.118395
Celtis australis,11.099784,46.118428
Celtis australis,11.099254,46.118504
Celtis australis,11.099156,46.118518
Celtis australis,11.099356,46.118484
Celtis australis,11.102271,46.118073
Celtis australis,11.102367,46.118059
Celtis australis,11.102066,46.118102
Celtis australis,11.102167,46.118088
Celtis australis,11.100575,46.118316
Celtis australis,11.100471,46.11833
Celtis australis,11.101874,46.11813
Celtis australis,11.100178,46.118286
Celtis australis,11.099914,46.118324
Celtis australis,11.100061,46.118303
Celtis australis,11.101154,46.118232
Celtis australis,11.101517,46.118181
Celtis australis,11.101632,46.118164
Celtis australis,11.101744,46.118148
Celtis australis,11.101271,46.118216
Celtis australis,11.101388,46.118199
Celtis australis,11.098651,46.118503
Celtis australis,11.097966,46.118688
Celtis australis,11.098748,46.118492
Celtis australis,11.098077,46.118672
Celtis australis,11.098199,46.118654
Celtis australis,11.098846,46.118478
Celtis australis,11.098943,46.118464
Celtis australis,11.099052,46.118449
Celtis australis,11.098796,46.11857
Celtis australis,11.098671,46.118587
Celtis australis,11.098433,46.118621
Celtis australis,11.098551,46.118604
Celtis australis,11.098315,46.118638
Celtis australis,11.091063,46.110768
Tilia cordata,11.091893,46.108026
Tilia,11.091115,46.110593
Tilia cordata,11.091011,46.110945
Tilia cordata,11.090832,46.111563
Tilia cordata,11.091156,46.110524
Tilia cordata,11.091836,46.108101
Tilia,11.091811,46.108188
Tilia,11.091453,46.109422
Tilia cordata,11.091037,46.110856
Tilia cordata,11.09078,46.111739
Tilia cordata,11.091785,46.108276
Tilia cordata,11.090421,46.112972
Tilia cordata,11.090396,46.113058
Tilia cordata,11.090806,46.111651
Tilia cordata,11.090549,46.112532
Tilia cordata,11.090473,46.112795
Tilia cordata,11.090935,46.111209
Tilia cordata,11.090524,46.112619
Tilia cordata,11.091403,46.109598
Tilia cordata,11.091377,46.109686
Tilia cordata,11.090446,46.112884
Tilia cordata,11.090986,46.111032
Tilia cordata,11.090883,46.111386
Tilia cordata,11.090857,46.111475
Tilia cordata,11.090912,46.111286
Tilia cordata,11.09096,46.111121
Tilia cordata,11.091428,46.10951
Tilia cordata,11.0913,46.109951
Tilia cordata,11.090626,46.112268
Tilia cordata,11.0906,46.112356
Tilia cordata,11.091632,46.108805
Tilia cordata,11.090287,46.11365
Tilia cordata,11.091351,46.109774
Tilia cordata,11.090344,46.113235
Tilia cordata,11.090678,46.112091
Tilia cordata,11.091479,46.109333
Tilia cordata,11.091658,46.108717
Tilia cordata,11.090575,46.112444
Tilia cordata,11.091581,46.108981
Tilia cordata,11.091606,46.108893
Tilia cordata,11.09153,46.109157
Tilia cordata,11.091326,46.109862
Tilia cordata,11.090652,46.11218
Tilia cordata,11.091504,46.109246
Tilia cordata,11.090319,46.113323
Tilia cordata,11.091275,46.110039
Tilia cordata,11.090293,46.113411
Tilia cordata,11.091556,46.109069
Tilia cordata,11.091088,46.11068
Tilia cordata,11.090703,46.112003
Tilia cordata,11.091734,46.108452
Tilia cordata,11.090365,46.113698
Tilia cordata,11.09176,46.108364
Tilia cordata,11.090729,46.111914
Tilia cordata,11.09037,46.113148
Tilia cordata,11.090256,46.113574
Tilia cordata,11.091709,46.108541
Tilia cordata,11.090269,46.113494
Tilia cordata,11.091683,46.108629
Tilia cordata,11.091249,46.110127
Tilia cordata,11.119639,46.097955
Pinus sylvestris,11.119522,46.098101
Celtis australis,11.1192,46.098222
Parrotia persica,11.119229,46.098173
Parrotia persica,11.119284,46.098139
Parrotia persica,11.119126,46.098334
Parrotia persica,11.119145,46.098378
Parrotia persica,11.112604,46.106932
Cercis siliquastrum,11.112632,46.106945
Cercis siliquastrum,11.112638,46.106908
Cercis siliquastrum,11.111991,46.106443
Ostrya carpinifolia,11.112012,46.106407
Ostrya carpinifolia,11.112101,46.106417
Ostrya carpinifolia,11.112872,46.103702
Quercus robur,11.112872,46.103596
Quercus robur,11.112871,46.103485
Quercus robur,11.112857,46.102852
Quercus robur,11.112863,46.102984
Quercus robur,11.112857,46.10279
Quercus robur,11.112856,46.102697
Quercus robur,11.112855,46.102606
Quercus robur,11.112851,46.102395
Quercus robur,11.112845,46.10212
Quercus robur,11.112841,46.101866
Quercus robur,11.112838,46.101751
Quercus robur,11.112833,46.101342
Quercus robur,11.112832,46.10123
Quercus robur,11.112827,46.101043
Quercus robur,11.112823,46.100845
Quercus robur,11.112813,46.100061
Quercus robur,11.112813,46.099926
Quercus robur,11.11281,46.099827
Quercus robur,11.112809,46.099675
Quercus robur,11.112804,46.099534
Quercus robur,11.112794,46.098987
Quercus robur,11.112792,46.098888
Quercus robur,11.112791,46.098746
Quercus robur,11.101688,46.101366
Juglans nigra,11.101712,46.101177
Fraxinus excelsior,11.10884,46.101124
Cercis siliquastrum,11.10998,46.129798
Carpinus betulus,11.107366,46.12454
Carpinus betulus,11.109948,46.12971
Carpinus betulus,11.10879,46.127602
Carpinus betulus,11.108475,46.127108
Carpinus betulus,11.107278,46.124257
Carpinus betulus,11.107337,46.124446
Carpinus betulus,11.108638,46.127364
Carpinus betulus,11.107308,46.124352
Carpinus betulus,11.1076,46.125234
Carpinus betulus,11.107079,46.123623
Carpinus betulus,11.109118,46.128119
Carpinus betulus,11.109064,46.128034
Carpinus betulus,11.108742,46.127528
Carpinus betulus,11.107567,46.125148
