stateCode,year,min,max
004,1975,43.82,68.7
004,1976,44.4,70.51
004,1977,45.38,70.57
004,1978,45.63,69.59
004,1979,45.26,70.08
004,1980,45.64,70.48
004,1981,46.98,71.62
004,1982,44.73,67.93
004,1983,46.49,68.6
004,1984,46.02,70.37
004,1985,44.69,69.93
004,1986,46.49,71.24
004,1987,45.75,70.77
004,1988,45.78,71.74
004,1989,45.1,71.11
004,1990,45.04,70.87
004,1991,45.52,70.75
004,1992,47.05,71.48
004,1993,45.51,69.79
004,1994,45.39,70.58
004,1995,46.87,70.98
004,1996,47.16,71.95
004,1997,46.75,71.47
004,1998,45.16,68.25
004,1999,45.08,70.84
004,2000,46.32,71.25
004,2001,46.52,71.73
004,2002,45.71,71.97
004,2003,46.99,71.85
004,2004,46.29,71.42
004,2005,46.37,70.81
004,2006,45.99,71.29
004,2007,45.83,72.02
004,2008,45.95,71.91
004,2009,45.92,71.73
004,2010,45.68,69.78
004,2011,44.86,70.0
004,2012,46.51,72.48
004,2013,46.08,72.58
004,2014,48.68,74.22
004,2015,48.09,73.42
004,2016,47.72,72.53
004,2017,47.99,72.67
004,2018,47.49,72.71
004,2019,46.42,70.38
004,2020,47.45,73.58
004,2021,47.61,73.09
004,2022,47.21,73.0
004,2023,22.98,43.45
005,1895,27.89,57.02
005,1896,30.46,59.26
005,1897,30.03,58.0
005,1898,28.4,57.05
005,1899,29.04,57.32
005,1900,30.77,60.09
005,1901,30.4,59.82
005,1902,30.16,59.22
005,1903,28.52,57.02
005,1904,30.03,59.4
005,1905,30.04,56.91
005,1906,30.43,57.47
005,1907,31.36,58.87
005,1908,29.59,57.66
005,1909,30.19,56.42
005,1910,31.64,60.54
005,1911,30.88,57.92
005,1912,28.54,55.03
005,1913,29.18,56.43
005,1914,30.79,57.98
005,1915,29.78,56.55
005,1916,29.59,57.32
005,1917,28.96,56.88
005,1918,30.38,57.13
005,1919,29.6,56.89
005,1920,29.83,56.5
005,1921,32.17,59.83
005,1922,29.98,58.33
005,1923,29.84,56.58
005,1924,28.35,56.99
005,1925,31.12,58.18
005,1926,30.91,58.43
005,1927,30.89,58.14
005,1928,30.11,57.78
005,1929,29.0,56.11
005,1930,29.43,57.79
005,1931,30.78,59.15
005,1932,29.52,57.81
005,1933,30.9,59.98
005,1934,33.15,62.82
005,1935,31.25,59.09
005,1936,31.22,59.68
005,1937,30.15,58.26
005,1938,31.52,58.69
005,1939,30.68,60.22
005,1940,31.84,59.05
005,1941,31.82,57.38
005,1942,29.87,57.94
005,1943,31.09,60.38
005,1944,29.94,57.84
005,1945,30.3,58.14
005,1946,31.42,59.71
005,1947,30.92,58.06
005,1948,29.74,57.79
005,1949,30.35,57.98
005,1950,30.73,59.69
