city,state,scientific_name,tree_count
Columbus,Ohio,Fraxinus pennsylvanica,9402
Columbus,Ohio,Acer platanoides,9245
Columbus,Ohio,Acer freemanii,8657
Columbus,Ohio,Acer saccharinum,7512
Columbus,Ohio,Tilia cordata,7090
Columbus,Ohio,Other,93506
Knoxville,Tennessee,Fraxinus pennsylvanica,683
Knoxville,Tennessee,Acer platanoides,602
Knoxville,Tennessee,Acer freemanii,594
Knoxville,Tennessee,Acer saccharinum,517
Knoxville,Tennessee,Tilia cordata,323
Knoxville,Tennessee,Other,5653
Garden Grove,California,Fraxinus pennsylvanica,2358
Garden Grove,California,Acer platanoides,1643
Garden Grove,California,Acer freemanii,1438
Garden Grove,California,Acer saccharinum,1049
Garden Grove,California,Tilia cordata,897
Garden Grove,California,Other,9997
Ahuimanu,Hawaii,Fraxinus pennsylvanica,7
Ahuimanu,Hawaii,Acer platanoides,5
Ahuimanu,Hawaii,Acer freemanii,1
Ahuimanu,Hawaii,Acer saccharinum,1
Ahuimanu,Hawaii,Tilia cordata,0
Honolulu,Hawaii,Fraxinus pennsylvanica,718
Honolulu,Hawaii,Acer platanoides,635
Honolulu,Hawaii,Acer freemanii,576
Honolulu,Hawaii,Acer saccharinum,421
Honolulu,Hawaii,Tilia cordata,332
Honolulu,Hawaii,Other,4461
Kailua,Hawaii,Fraxinus pennsylvanica,983
Kailua,Hawaii,Acer platanoides,981
Kailua,Hawaii,Acer freemanii,373
Kailua,Hawaii,Acer saccharinum,345
Kailua,Hawaii,Tilia cordata,251
Kailua,Hawaii,Other,2474
Kaneohe,Hawaii,Fraxinus pennsylvanica,297
Kaneohe,Hawaii,Acer platanoides,154
Kaneohe,Hawaii,Acer freemanii,145
Kaneohe,Hawaii,Acer saccharinum,129
Kaneohe,Hawaii,Tilia cordata,104
Kaneohe,Hawaii,Other,1229
Waipahu,Hawaii,Fraxinus pennsylvanica,27
Waipahu,Hawaii,Acer platanoides,13
Waipahu,Hawaii,Acer freemanii,2
Waipahu,Hawaii,Acer saccharinum,1
Waipahu,Hawaii,Tilia cordata,0
Plano,Texas,Fraxinus pennsylvanica,3641
Plano,Texas,Acer platanoides,3279
Plano,Texas,Acer freemanii,2598
Plano,Texas,Acer saccharinum,1906
Plano,Texas,Tilia cordata,1598
Plano,Texas,Other,9740
Richmond,Virginia,Fraxinus pennsylvanica,227
